"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"23,0";"23,5";"23,0";"80,0";"80,0";"75,0";"19,3";"19,5";"18,8";"940,7";"941,2";"940,7";"0,3";"352,0";"2,2";"";"0,0"
"01/01/2019";"0100";"22,3";"23,0";"22,2";"85,0";"85,0";"80,0";"19,6";"19,6";"19,0";"941,3";"941,3";"940,7";"0,0";"285,0";"2,2";"";"0,0"
"01/01/2019";"0200";"22,6";"22,8";"22,3";"84,0";"85,0";"82,0";"19,7";"19,9";"19,4";"941,6";"941,6";"941,3";"0,0";"99,0";"1,0";"";"0,0"
"01/01/2019";"0300";"22,2";"22,8";"22,2";"86,0";"86,0";"82,0";"19,7";"19,7";"19,2";"941,5";"941,7";"941,4";"0,7";"215,0";"1,7";"";"0,0"
"01/01/2019";"0400";"21,7";"22,3";"21,7";"87,0";"87,0";"85,0";"19,6";"19,8";"19,5";"941,0";"941,5";"941,0";"0,0";"290,0";"2,2";"";"0,0"
"01/01/2019";"0500";"21,4";"21,7";"21,3";"88,0";"88,0";"87,0";"19,3";"19,5";"19,2";"940,9";"941,1";"940,8";"0,0";"345,0";"1,1";"";"0,0"
"01/01/2019";"0600";"21,3";"21,5";"21,3";"87,0";"88,0";"87,0";"19,1";"19,4";"19,1";"941,0";"941,1";"940,8";"0,0";"227,0";"0,0";"";"0,0"
"01/01/2019";"0700";"21,2";"21,4";"21,1";"88,0";"89,0";"87,0";"19,1";"19,4";"19,0";"941,3";"941,3";"941,0";"0,0";"208,0";"1,2";"";"0,0"
"01/01/2019";"0800";"20,6";"21,2";"20,5";"90,0";"90,0";"88,0";"18,8";"19,1";"18,6";"942,3";"942,3";"941,3";"0,0";"223,0";"0,8";"";"0,0"
"01/01/2019";"0900";"20,4";"20,7";"20,4";"89,0";"90,0";"89,0";"18,5";"18,9";"18,5";"943,1";"943,1";"942,3";"0,0";"95,0";"1,0";"22,50";"0,0"
"01/01/2019";"1000";"22,5";"22,6";"20,3";"83,0";"90,0";"83,0";"19,4";"19,6";"18,4";"943,7";"943,7";"943,1";"0,0";"176,0";"1,4";"495,70";"0,0"
"01/01/2019";"1100";"24,9";"25,2";"22,5";"70,0";"83,0";"68,0";"19,0";"19,5";"18,3";"944,1";"944,1";"943,7";"0,8";"104,0";"3,0";"1397,30";"0,0"
"01/01/2019";"1200";"25,9";"26,0";"24,8";"64,0";"71,0";"63,0";"18,6";"19,4";"18,1";"944,4";"944,4";"944,1";"1,8";"16,0";"3,9";"2224,30";"0,0"
"01/01/2019";"1300";"27,3";"27,6";"25,7";"58,0";"66,0";"58,0";"18,2";"19,4";"18,1";"944,4";"944,4";"944,3";"1,6";"353,0";"4,6";"2910,00";"0,0"
"01/01/2019";"1400";"28,4";"28,4";"27,2";"56,0";"61,0";"55,0";"18,8";"19,3";"17,8";"944,0";"944,4";"943,9";"2,9";"336,0";"5,1";"3387,10";"0,0"
"01/01/2019";"1500";"29,4";"29,6";"28,3";"53,0";"58,0";"51,0";"18,8";"19,8";"17,6";"943,5";"944,0";"943,5";"1,9";"341,0";"4,7";"3725,50";"0,0"
"01/01/2019";"1600";"30,9";"31,2";"28,8";"48,0";"57,0";"48,0";"18,6";"20,0";"18,0";"942,6";"943,4";"942,6";"1,1";"278,0";"5,4";"3626,00";"0,0"
"01/01/2019";"1700";"31,6";"31,7";"29,9";"45,0";"52,0";"45,0";"18,1";"19,6";"17,4";"941,6";"942,6";"941,6";"1,5";"37,0";"4,9";"3467,60";"0,0"
"01/01/2019";"1800";"31,2";"31,9";"30,0";"47,0";"51,0";"43,0";"18,5";"19,1";"17,1";"940,4";"941,6";"940,4";"2,4";"342,0";"5,0";"2797,90";"0,0"
"01/01/2019";"1900";"31,5";"31,6";"30,9";"44,0";"48,0";"43,0";"17,9";"18,9";"17,3";"940,2";"940,4";"940,2";"2,2";"22,0";"5,4";"2453,20";"0,0"
"01/01/2019";"2000";"28,5";"32,1";"28,2";"55,0";"55,0";"43,0";"18,5";"19,2";"17,7";"940,3";"940,3";"940,1";"4,3";"103,0";"8,6";"1041,80";"0,0"
"01/01/2019";"2100";"28,1";"28,9";"28,1";"56,0";"58,0";"54,0";"18,4";"19,1";"18,4";"940,8";"940,8";"940,3";"1,8";"87,0";"7,2";"388,50";"0,0"
"01/01/2019";"2200";"26,5";"28,1";"26,5";"64,0";"64,0";"56,0";"19,1";"19,4";"18,4";"941,5";"941,5";"940,8";"1,3";"84,0";"3,6";"30,80";"0,0"
"01/01/2019";"2300";"25,6";"26,5";"25,6";"66,0";"68,0";"64,0";"18,7";"19,2";"18,5";"942,6";"942,6";"941,5";"0,0";"36,0";"3,1";"";"0,0"
