"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"23,6";"25,3";"23,5";"58,0";"63,0";"52,0";"14,9";"16,3";"14,7";"941,6";"941,7";"940,8";"0,6";"321,0";"2,3";"";"0,0"
"01/01/2023";"0100";"22,1";"23,8";"22,1";"70,0";"70,0";"56,0";"16,3";"16,3";"14,3";"942,2";"942,2";"941,6";"0,4";"301,0";"1,9";"";"0,0"
"01/01/2023";"0200";"21,4";"22,2";"21,2";"69,0";"71,0";"68,0";"15,5";"16,4";"15,4";"942,2";"942,3";"942,1";"1,5";"290,0";"2,2";"";"0,0"
"01/01/2023";"0300";"20,4";"21,6";"20,4";"73,0";"73,0";"65,0";"15,4";"15,5";"14,5";"941,6";"942,2";"941,6";"1,3";"64,0";"2,1";"";"0,0"
"01/01/2023";"0400";"21,6";"21,7";"20,3";"69,0";"74,0";"67,0";"15,6";"15,9";"15,4";"941,4";"941,7";"941,4";"0,2";"240,0";"2,1";"";"0,0"
"01/01/2023";"0500";"20,5";"21,7";"20,5";"72,0";"74,0";"67,0";"15,3";"16,0";"15,3";"941,3";"941,4";"941,3";"0,9";"300,0";"1,6";"";"0,0"
"01/01/2023";"0600";"20,7";"20,9";"20,0";"72,0";"77,0";"72,0";"15,6";"15,8";"15,2";"941,1";"941,3";"941,0";"0,4";"103,0";"1,6";"";"0,0"
"01/01/2023";"0700";"20,9";"21,1";"20,6";"74,0";"75,0";"70,0";"16,0";"16,2";"15,5";"941,3";"941,3";"941,1";"0,9";"58,0";"1,7";"";"0,0"
"01/01/2023";"0800";"20,9";"21,0";"20,6";"75,0";"76,0";"73,0";"16,4";"16,4";"15,9";"941,7";"941,7";"941,3";"0,6";"83,0";"1,7";"";"0,0"
"01/01/2023";"0900";"20,9";"21,3";"20,9";"76,0";"76,0";"73,0";"16,6";"16,6";"16,3";"942,4";"942,4";"941,7";"1,2";"51,0";"1,9";"18,60";"0,0"
"01/01/2023";"1000";"21,4";"21,4";"20,9";"76,0";"77,0";"75,0";"17,0";"17,0";"16,6";"942,9";"942,9";"942,4";"0,6";"51,0";"1,9";"193,60";"0,0"
"01/01/2023";"1100";"22,4";"22,4";"21,3";"73,0";"76,0";"71,0";"17,2";"17,3";"16,6";"943,0";"943,2";"942,9";"1,3";"56,0";"2,3";"534,70";"0,0"
"01/01/2023";"1200";"23,7";"23,7";"22,4";"63,0";"73,0";"63,0";"16,3";"17,3";"16,3";"943,4";"943,4";"943,0";"2,7";"58,0";"5,3";"950,00";"0,0"
"01/01/2023";"1300";"25,3";"25,3";"23,5";"55,0";"64,0";"54,0";"15,7";"16,5";"15,2";"943,5";"943,6";"943,4";"1,6";"76,0";"5,3";"1815,40";"0,0"
"01/01/2023";"1400";"26,4";"27,2";"25,3";"50,0";"56,0";"48,0";"15,2";"16,4";"14,9";"943,1";"943,5";"943,1";"1,2";"160,0";"5,7";"3091,40";"0,0"
"01/01/2023";"1500";"28,2";"28,4";"26,4";"45,0";"52,0";"44,0";"15,2";"16,5";"14,9";"942,2";"943,1";"942,2";"1,7";"27,0";"4,8";"3620,50";"0,0"
"01/01/2023";"1600";"29,5";"29,9";"27,5";"41,0";"49,0";"41,0";"15,0";"16,2";"14,1";"941,2";"942,2";"941,2";"2,1";"58,0";"5,1";"2919,50";"0,0"
