"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2024";"0000";"23,1";"23,7";"22,8";"76,0";"77,0";"72,0";"18,5";"18,6";"18,2";"939,7";"939,7";"939,0";"0,7";"256,0";"2,4";"";"0,0"
"01/01/2024";"0100";"22,8";"23,5";"22,8";"77,0";"77,0";"73,0";"18,5";"18,6";"18,2";"940,1";"940,1";"939,7";"0,0";"294,0";"1,6";"";"0,0"
"01/01/2024";"0200";"22,3";"23,1";"22,2";"81,0";"81,0";"76,0";"18,8";"19,1";"18,4";"940,7";"940,7";"940,1";"1,1";"275,0";"1,5";"";"0,0"
"01/01/2024";"0300";"21,8";"22,6";"21,8";"82,0";"82,0";"79,0";"18,6";"18,9";"18,4";"940,8";"940,9";"940,7";"0,0";"259,0";"1,7";"";"0,0"
"01/01/2024";"0400";"21,8";"22,3";"21,8";"82,0";"83,0";"80,0";"18,5";"19,2";"18,5";"940,3";"940,8";"940,3";"0,0";"335,0";"0,8";"";"0,0"
"01/01/2024";"0500";"21,4";"21,9";"21,4";"84,0";"84,0";"82,0";"18,4";"18,9";"18,4";"940,0";"940,3";"939,9";"1,2";"304,0";"1,9";"";"0,0"
"01/01/2024";"0600";"21,9";"22,0";"21,3";"81,0";"84,0";"80,0";"18,5";"18,6";"18,3";"939,4";"940,0";"939,4";"0,6";"289,0";"1,9";"";"0,0"
"01/01/2024";"0700";"21,2";"21,9";"21,2";"83,0";"83,0";"80,0";"18,1";"18,5";"18,0";"939,3";"939,5";"939,1";"0,2";"295,0";"1,5";"";"0,0"
"01/01/2024";"0800";"21,2";"21,5";"21,2";"82,0";"84,0";"81,0";"17,9";"18,5";"17,9";"939,3";"939,3";"939,2";"0,4";"286,0";"1,2";"";"0,0"
"01/01/2024";"0900";"20,9";"21,2";"20,7";"85,0";"85,0";"82,0";"18,2";"18,2";"17,9";"939,9";"939,9";"939,3";"0,0";"356,0";"1,0";"25,30";"0,0"
"01/01/2024";"1000";"22,7";"22,9";"20,9";"79,0";"85,0";"77,0";"18,8";"19,0";"18,3";"940,6";"940,6";"939,9";"0,6";"297,0";"2,1";"411,60";"0,0"
"01/01/2024";"1100";"25,8";"25,8";"22,7";"67,0";"79,0";"66,0";"19,1";"19,3";"18,4";"940,8";"940,9";"940,6";"1,1";"68,0";"2,6";"998,90";"0,0"
"01/01/2024";"1200";"26,7";"26,8";"25,7";"63,0";"67,0";"62,0";"19,0";"19,4";"18,4";"941,0";"941,0";"940,8";"2,5";"59,0";"5,8";"1826,40";"0,0"
"01/01/2024";"1300";"27,6";"28,3";"26,4";"56,0";"63,0";"55,0";"18,1";"19,5";"18,1";"940,8";"941,1";"940,8";"3,3";"55,0";"6,4";"2032,90";"0,0"
"01/01/2024";"1400";"28,9";"29,7";"27,4";"52,0";"60,0";"51,0";"18,1";"19,5";"17,8";"940,2";"940,8";"940,2";"3,6";"49,0";"6,5";"3225,50";"0,0"
"01/01/2024";"1500";"29,1";"30,5";"28,5";"52,0";"56,0";"46,0";"18,1";"18,7";"16,9";"939,2";"940,2";"939,2";"3,0";"54,0";"6,9";"2219,00";"0,0"
"01/01/2024";"1600";"27,5";"29,2";"27,5";"58,0";"58,0";"50,0";"18,5";"19,1";"17,7";"938,6";"939,2";"938,6";"2,2";"292,0";"5,5";"1188,90";"0,0"
